sender_id,text,date
-1001333826717,"🔴INIMA  Coffee Grinder 
Stainless Steel Bowl to mill
        ⭐️coffee 
        ⭐️cardamom
        ⭐️nut 
        ⭐️Spices 
        ⭐️150W

  
ዋጋ፦   ✅ 1550  ከነፃ ዲሊቨሪ ጋር

ከነፃ ዲሊቨሪ ጋር
🛞ያሉበት ቦታ ድረስ በነጻ እናደርሳለን (Free Delivery)⭕️2ዕቃ ከ1 ሺ ብር በላይ የሚተመኑ ዕቃዎች ሲገዙ ስጦታ🎀 አዘጋጅተናል

   0933334444 @LeMazez_z
   
   0946242424 @Le_Mazez

አድራሻ✅
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 105B
⭕️ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ  በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ  በ ግራ የሱቅ ቁጥር👌 C10 
ይደዉሉልን👆",2024-09-28 12:31:21+00:00
-1001333826717,"🔴የፈንዲሻ ማፍኪያ
popcorn maker
**ዋጋ 2200✅**
ከነፃ ዲሊቨሪ ጋር
#ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ #ከ_1000_ብር በላይ የሆኑ #ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
           0933334444 @Leyustore
   
           0946242424 @Le_Mazez",2024-09-28 09:22:11+00:00
-1001333826717,"🔠🔠🔠 🔠🔠🔠🔠2 ድስቶች + 1 ወጥ ማቅረቢያ + 1 መጥበሻ 
  የማይዙ የማያሳርሩ ለይታ ውቡ የሆኑ 
         ዋጋ 💵6500 ብር  🛞🛞ከነፃ ዲሊቨሪ ጋር🛞🛞

  0933334444      @LeMazez_z
  
  0946242424      @Le_Mazez",2024-09-28 08:26:27+00:00
-1001333826717,"🔤🔤🔤🔤🔤 ➖🔤🔤🔤🔤
Philips Easy Speed Iron

🍀Easy to use
🍀Water tank capacity 220 ml (enables lonver use)
🍀Soleplate name:- Non-stick
😡Spray:- Yes

Technical specifications
Cord length 1.9 m
Heating time 30 sec
Power:- 2000watt 

        ዋጋ:-✔️3900ብር
ከነፃ ዲሊቨሪ ጋር 
      📌📌📌አድራሻ👀
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 105B
⭕️ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ  በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ  በ ግራ የሱቅ ቁጥር👌 C10 
ይደዉሉልን👆 
ባሉበት  ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 
0933334444 @LeMazez_z
0946242424 @Le_Mazez
0944109295 @Lemaze_z",2024-09-28 06:11:19+00:00
-1001333826717,"7️⃣  🔠🔠   1️⃣RAF 🥪 Sandwich Maker 7 In 1 

🔥 Panini Grill
🔥 Nut Maker 
🔥 Sandwich 
🔥 Waffle 🧇
🔥 Madeleine board
🔥 Doughnut 🍩
🔥 Patterned Sandwich

✔️ Non Slip Foot Mats
✔️ Seven Removable Discs 
✔️ Non-stick Coated Board 
✔️ indicator Light For Controlled Cooking 
✔️ Double sided Heating 
✔️ Easy to use and Clean 
✔️ Power = 800W

       💵7800** ብር**

🚚**🏍ከ ነፃ ማድረስ ጋር**

T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
     📲0933334444 @LeMazez_z
           0944109295 @Lemaze_z
           0946242424 @Le_Mazez",2024-09-27 16:51:44+00:00
-1001333826717,"🌼🌼🌼🔴ይህን መፍጫ ከሁሉም የተሻለ ሆኖ አግኝተነዋል❗️kitchen expert NO# 1 አስተማማኝ የሆነ ዕቃ
በኤሌክትሪክ የሚሰራ የሽንኩርት፣ የስጋ ፣የጨጓራ  መፍጫ በ 15 ሰከንዶች  ዉስጥ ድቅቅ አድርጎ የሚፈጭ  ምላጭ
በ 3 ሊትር እና 5ሊትር   ፈጣን የሆኑ
✔️3ሊትር **2100****🔴**** 
****✔️****5ሊትር 2600****🟢****
የ1 አመት ዋስትና ያላቸዉ በጣም የሚያስደስት ዕቃ ደዉለዉ ማዘዝ ይችላሉ** 

➡️~~ይህን ዕቃ እና ሌላ 1 እቃ ጨምረዉ ሲገዙ 1 ምርጥ ቢላ በነፃ~~ 📣🎁

           📌📌📌አድራሻ👀
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 105B
⭕️ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ  በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ  በ ግራ የሱቅ ቁጥር👌 C10 
ይደዉሉልን👆 
📣ባሉበት  ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ

#ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ #ከ_1000_ብር በላይ የሆኑ #ሁለት_ዕቃዎች ሲገዙ ስጦታ🚫🌟⭐️⭐️ እንልክለዎታለን 
T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
            📲0933334444 @LeMazez_z
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez",2024-09-26 09:27:56+00:00
-1001333826717,"⌛💧🌼🌼🌼Telescopic Stainless Steel Majic Mop

✔️ ማጂክ መወልወያ
✔️ ውሃ በከፍተኛ ደረጃ ይመጣል
✔️በራሱ ይጨምቃል ከእጅ ንኪኪ ነፃ

              💲** ዋጋ፦ 900 ብር** ከነፃ ዲሊቨሪ ጋር
         📌📌📌አድራሻ👀
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 105B
⭕️ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ  በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ  በ ግራ የሱቅ ቁጥር👌 C10 
ይደዉሉልን👆 
📣 
0933334444 @LeMazez_z
0946242424 @Le_Mazez
0944109295 @Lemaze_z",2024-09-26 05:49:13+00:00
-1001333826717,"🔠🔠🔠🔠🔠Siliver crest ➡️Brand  ባለ1 እና ባለ  2 ተች ስቶቭ
An environmentally friendly and safe plate based on a light wave
Light wave technology
Safe and high Quality, does not emit smoke and flame
Suitable for this product: cooking,
can be roasted and steamed
This appliance can perform a variety of functions, including a multi-function plate Has a heating function

👉ግዜዎን እና ጉልበትዎን የሚቆጥብ ፈጣን ስቶቭ
**
 👉ባለ 2 price **✔️7200  Delivery Free**
👉ባለ 1price**✔️3100 #ክፍያዎን_ ዕቃዉ _እጅዎ ሲደርስ_በሞባይል_ባንኪንግ_መፈፀም_ይችላሉ➡️ በተጨማሪ #ሁለት ዕቃዎችን ከ_1000_ብር በላይ የሚተመኑ  2 ዕቃዎችን_አንዴ  ሲገዙ ስጦታ‼️ እንልክለዎታለን 
            0933334444 @LeMazez_z
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez",2024-09-25 17:39:49+00:00
-1001333826717,"🔠🔠🔠🔠ሶስት ፍሬ የዳቦ እና የኬክ ቅርጽ ማውጫ ( መጋገሪያ ፓትራ )

     👉ትልቁ 

3 Pc Shaped Mould 
24CM & 26CM & 28CM

👉 አንድ ክብ ባትራ
👉 አንድ አራት ማዕዘን ባትራ
👉 አንድ ልብ ቅርፅ ባትራ

       ዋጋ ✔️1250

የመረጡትን እቃ ይዘዙ፤ ያሉበት በነፃ  እናደርሳለን!!


   0933334444 @LeMazez_z
   0944109295 @Lemaze_z
   0946242424 @Le_Mazez
   #አድራሻ🔘🌀
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 105B
⭕️ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ  በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ  በ ግራ የሱቅ ቁጥር👌 C10 
ይደዉሉልን👆",2024-09-25 10:38:58+00:00
-1001333826717,"🧳🧳🧳HIGH PRESSURE WATER GUN HEAD SET
👉 360° የሚዞር
👉 በቀላሉ የውሃ ቱቦ ላይ የሚገጠም
👉 ለመኪና እጥበት ተመራጭ
👉 አትክልት ለማጠጣት እና ወለል ለማጠብ የሚመረጥ 
**ዋጋ✅ከዲሊቨሪ ጋር 950 ብር**
  🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ
           
         0933334444 @LeMazez_z 
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez",2024-09-25 07:44:47+00:00
